,④ 태양과 지구 사이의 거리가 가까울수록 지구에 도달하는 태양 복사 에너지양이 많다.,O
,"⑤ 지구 공전 궤도 이심률이 커질수록 근일점의 거리는 더 가까워지고, 원일점의 거리는 멀어진다.",O
14,"① 허블 법칙을 만족할 때, 은하의 후퇴 속도는 은하까지의 거리에 비례한다.",O
,② 겉보기 밝기는 거리의 제곱에 반비례한다.,O
,③ 광도가 클수록 절대등급은 작고 같은 거리에 있늘때 겉보기 밝기가 더 크다,O
15,① 복사 에너지를 최대로 방출하는 파장은 온도에 비례한다.,X
,② 광도는 반지름의 제곱 표면 온도의 네제곱의 곱에 비례한다.,O
,③ 주계열성은 질량이 증가할수록 광도와 반지름이 증가한다. ,O
,④ 중심핵 온도는 거성이 주계열성보다 높다.,O
,"⑤ 주계열 단계 동안, 별의 질량의 평균 감소 속도는 별의 진화 속도가 빠를수록 느리다.",X
16,① 지괴가 고지자기극에 가까울수록 고지자기극 생성 당시에 고위도에 위치하였다.,O
,② 과거에 고위도에 위치할수록 고지자기 복각의 크기가 크다.,O
,③ 과거 특정 시기의 지괴와 그 당시 고지자기극 사이의 각거리는 시간이 지나도 일정하다.,O
17,① 동태평양 적도 부근 해역에서 구름 최상부 구름의 고도는 엘니뇨 시기가 라니냐 시기보다 높다.,O
,② 적운형 구름의 두께가 두꺼울수록 지표에 도달하는 태양 복사 에너지양이 많다.,X
,③ 동태평양 적도 부근 해역의 해수면 높이는 엘니뇨 시기가 라니냐 시기보다 높다.,O
,④ 서태평양 적도 부근 해역의 해수면 높이는 엘니뇨 시기가 라니냐 시기보다 낮다.,O
,⑤ 서태평양 적도 부근 해역에서 평균 강수량은 엘니뇨 시기가 라니냐 시기보다 많다.,O
18,① 주계열성은 광도가 클수록 반지름이 크고 표면 온도가 높다.,O
,② HI흡수선의 세기는 A형 별이 가장 크다.,O
,③ 별의 겉보기 밝기는 거리의 제곱에 반비례한다.,O
,④ 주계열성의 광도 계급은 V이다.,O
,⑤ 별의 중심 온도는 초거성이 주계열성보다 낮다.,X
19,① 고정된 열점에서 생성된 화산섬의 고지자기 복각의 크기는 일정하다.,O
,② 열점에서 생성된 화산섬은 판의 이동 방향과 나란하게 배열된다.,O
,③ 열점에서 생성된 화산섬이 이동한 거리를 이용해 판의 이동 속도를 구할 수 있다.,O
20,① 관입한 암석은 관입당한 암석보다 나이가 많다.,X
,② 시간이 지남에 따라 단위 시간당 모원소의 감소량과 자원소의 증가량은 점차 감소한다.,O
,③ 모원소가 붕괴할 때 같은 시간 동안 붕괴하는 비율은 항상 일정하다.,O
,④ 고생대는 5.41억년~ 2.52억년 사이의 기간이다.,O
